product_category_name,avg_delivery_time_days,median_delivery_time_days,p90_delivery_time_days,total_orders
moveis_colchao_e_estofado,13.6,9,34,37
moveis_escritorio,19.7,18,33,1254
artigos_de_natal,14.8,11,30,125
casa_conforto_2,13.7,10,29,24
fashion_underwear_e_moda_praia,12.9,10,27,117
fashion_calcados,14.6,13,25,235
audio,12.4,9,25,348
moveis_quarto,12.3,10,24,90
fashion_roupa_feminina,11.2,10,24,36
moveis_sala,12.9,11,23,414
consoles_games,12.7,10,23,1018
eletronicos,12,10,23,2517
tablets_impressao_imagem,12,10,23,79
papelaria,11.9,9,23,2264
instrumentos_musicais,11.9,10,23,611
relogios_presentes,11.7,9,23,5493
eletrodomesticos_2,12.9,10,22,227
ferramentas_jardim,12.7,11,22,3447
casa_conforto,12.6,10,22,392
informatica_acessorios,12.3,10,22,6529
casa_construcao,12.3,10,22,483
fashion_roupa_masculina,12.2,10,22,106
dvds_blu_ray,12.1,11,22,56
moveis_decoracao,11.9,10,22,6304
cama_mesa_banho,11.9,10,22,9271
telefonia,11.9,10,22,4092
bebes,11.6,9,22,2809
climatizacao,11.2,9,22,246
beleza_saude,11.1,9,22,8649
construcao_ferramentas_seguranca,11,9,22,158
moveis_cozinha_area_de_servico_jantar_e_jardim,10.9,9,22,241
pcs,12.4,10,21,177
cool_stuff,11.4,9,21,3556
esporte_lazer,11.3,9,21,7528
automotivo,11.3,9,21,3809
market_place,11.2,9,21,274
construcao_ferramentas_jardim,11,9,21,190
perfumaria,10.9,8,21,3088
fashion_esporte,10.9,9,21,26
brinquedos,10.8,9,21,3804
livros_interesse_geral,10.6,9,21,495
livros_tecnicos,9.7,8,21,256
cine_foto,9.2,8,21,63
telefonia_fixa,11.6,10,20,212
construcao_ferramentas_ferramentas,11.3,10,20,97
eletrodomesticos,10.5,9,20,747
artes,10.3,9,20,195
fashion_bolsas_e_acessorios,10.2,8,20,1821
pet_shop,10.4,9,19,1688
utilidades_domesticas,10,8,19,5743
eletroportateis,10,8,19,608
alimentos_bebidas,9.9,7,19,221
industria_comercio_e_negocios,9.8,7,19,231
bebidas,9.6,7,19,287
musica,10.7,8,18,38
agro_industria_e_comercio,10.4,8,18,177
malas_acessorios,9.8,8,18,1019
construcao_ferramentas_construcao,9.8,7,18,736
portateis_casa_forno_e_cafe,8.9,7,18,72
alimentos,8.8,6,18,441
construcao_ferramentas_iluminacao,8.7,7,18,242
artigos_de_festas,8.4,7,18,38
sinalizacao_e_seguranca,9.2,7,17,138
flores,10.2,8,16,29
fraldas_higiene,9.9,9,16,25
cds_dvds_musicais,9.8,10,14,12
livros_importados,7.2,5,13,50
portateis_cozinha_e_preparadores_de_alimentos,7.1,7,13,13
la_cuisine,6.9,7,9,13
artes_e_artesanato,4.5,4,7,23
