Month,State,Average_order_Value_by_State_n_Month
2018-09-01 00:00:00 UTC,RS,925.3
2016-11-01 00:00:00 UTC,ES,783.2
2017-11-01 00:00:00 UTC,AC,669.5
2016-10-01 00:00:00 UTC,PA,663.9
2017-03-01 00:00:00 UTC,MS,603.3
2016-12-01 00:00:00 UTC,CE,594.5
2017-11-01 00:00:00 UTC,AP,578.5
2017-07-01 00:00:00 UTC,TO,568.4
2017-09-01 00:00:00 UTC,AL,510.8
2018-08-01 00:00:00 UTC,RR,466.7
2018-07-01 00:00:00 UTC,PB,453.9
2017-12-01 00:00:00 UTC,RO,442
2017-06-01 00:00:00 UTC,AP,425.2
2017-02-01 00:00:00 UTC,DF,418.5
2018-06-01 00:00:00 UTC,AC,416.3
2018-08-01 00:00:00 UTC,RO,406.6
2018-04-01 00:00:00 UTC,RR,403.8
2018-09-01 00:00:00 UTC,GO,402.2
2016-11-01 00:00:00 UTC,SC,401.6
2018-09-01 00:00:00 UTC,AL,398.7
2016-11-01 00:00:00 UTC,RS,396.1
2017-02-01 00:00:00 UTC,PA,394.5
2017-12-01 00:00:00 UTC,AM,393.9
2018-09-01 00:00:00 UTC,PR,390.5
2017-02-01 00:00:00 UTC,AP,383.1
2017-10-01 00:00:00 UTC,PB,365.3
2017-02-01 00:00:00 UTC,AC,361.6
2018-02-01 00:00:00 UTC,AM,346.5
2018-06-01 00:00:00 UTC,RR,342.4
2018-08-01 00:00:00 UTC,AC,339.2
2018-04-01 00:00:00 UTC,TO,337.6
2017-05-01 00:00:00 UTC,AC,333.3
2018-05-01 00:00:00 UTC,RO,331.9
2018-08-01 00:00:00 UTC,RN,329.2
2017-06-01 00:00:00 UTC,PI,325.4
2017-08-01 00:00:00 UTC,AL,314.7
2018-08-01 00:00:00 UTC,PB,311.6
2017-01-01 00:00:00 UTC,CE,305.4
2017-12-01 00:00:00 UTC,AL,301.2
2017-02-01 00:00:00 UTC,AL,296.7
2017-09-01 00:00:00 UTC,AM,296.2
2018-05-01 00:00:00 UTC,SE,290.7
2018-01-01 00:00:00 UTC,AP,289.2
2017-09-01 00:00:00 UTC,PA,287.4
2018-04-01 00:00:00 UTC,PI,287.3
2017-03-01 00:00:00 UTC,PI,287
2018-06-01 00:00:00 UTC,MA,285.3
2017-06-01 00:00:00 UTC,PB,284.9
2017-04-01 00:00:00 UTC,PI,284.8
2017-03-01 00:00:00 UTC,PA,283.7
2018-06-01 00:00:00 UTC,PI,281.9
2017-06-01 00:00:00 UTC,SE,280.1
2018-07-01 00:00:00 UTC,RR,277.8
2017-03-01 00:00:00 UTC,CE,276.3
2018-01-01 00:00:00 UTC,AC,275
2018-05-01 00:00:00 UTC,PI,274.9
2016-11-01 00:00:00 UTC,PE,273.8
2017-10-01 00:00:00 UTC,MA,272.2
2017-02-01 00:00:00 UTC,TO,272
2018-06-01 00:00:00 UTC,AL,271.3
2017-01-01 00:00:00 UTC,SC,270.8
2018-08-01 00:00:00 UTC,PA,270.4
2018-05-01 00:00:00 UTC,AC,270.3
2018-03-01 00:00:00 UTC,SE,270.1
2017-07-01 00:00:00 UTC,MT,268.7
2018-04-01 00:00:00 UTC,RO,267.1
2017-09-01 00:00:00 UTC,RR,266.9
2017-11-01 00:00:00 UTC,CE,265.9
2017-08-01 00:00:00 UTC,MT,265.8
2017-05-01 00:00:00 UTC,AP,265.7
2018-05-01 00:00:00 UTC,RR,265.2
2016-12-01 00:00:00 UTC,MA,264.1
2017-10-01 00:00:00 UTC,TO,263.1
2017-09-01 00:00:00 UTC,SE,262.7
2017-11-01 00:00:00 UTC,RO,261.5
2017-11-01 00:00:00 UTC,PB,261.1
2017-02-01 00:00:00 UTC,SE,260
2018-06-01 00:00:00 UTC,PB,259.5
2016-10-01 00:00:00 UTC,CE,258.2
2017-09-01 00:00:00 UTC,MA,258.1
2017-10-01 00:00:00 UTC,RO,256.2
2018-04-01 00:00:00 UTC,MA,255.9
2017-07-01 00:00:00 UTC,CE,255.3
2018-06-01 00:00:00 UTC,TO,254.9
2018-04-01 00:00:00 UTC,AL,254.4
2017-11-01 00:00:00 UTC,SE,254.3
