purchase_month,monthly_revenue,cumulative_revenue
2016-12-01 00:00:00 UTC,19.62,57183.21
2018-09-01 00:00:00 UTC,166.46,15843553.24
2016-09-01 00:00:00 UTC,354.75,354.75
2016-10-01 00:00:00 UTC,56808.84,57163.59
2017-01-01 00:00:00 UTC,137188.49,194371.7
2017-02-01 00:00:00 UTC,286280.62,480652.32
2017-04-01 00:00:00 UTC,412422.24,1325123.15
2017-03-01 00:00:00 UTC,432048.59,912700.91
2017-06-01 00:00:00 UTC,502963.04,2414277.14
2017-07-01 00:00:00 UTC,584971.62,2999248.76
2017-05-01 00:00:00 UTC,586190.95,1911314.1
2017-08-01 00:00:00 UTC,668204.6,3667453.36
2017-09-01 00:00:00 UTC,720398.91,4387852.27
2017-10-01 00:00:00 UTC,769312.37,5157164.64
2017-12-01 00:00:00 UTC,863547.23,7199855.64
2018-02-01 00:00:00 UTC,986908.96,9294066.49
2018-08-01 00:00:00 UTC,1003308.47,15843386.78
2018-06-01 00:00:00 UTC,1022677.11,13781350.28
2018-07-01 00:00:00 UTC,1058728.03,14840078.31
2018-01-01 00:00:00 UTC,1107301.89,8307157.53
2018-05-01 00:00:00 UTC,1149781.82,12758673.17
2018-03-01 00:00:00 UTC,1155126.82,10449193.31
2018-04-01 00:00:00 UTC,1159698.04,11608891.35
2017-11-01 00:00:00 UTC,1179143.77,6336308.41
